,Artist,Rating,Song,Year
25,Sounds Orchestral,26,Cast Your Fate To The Wind,1965
26,Barbara Mason,27,"Yes, I’m Ready",1965
27,Tom Jones,28,What’s New Pussycat?,1965
28,Barry McGuire,29,Eve Of Destruction,1965
29,McCoys,30,Hang On Sloopy,1965
30,Beatles,31,Ticket To Ride,1965
31,Bert Kaempfert and His Orch.,32,Red Roses For A Blue Lady,1965
32,James Brown and The Famous Flames,33,Papa’s Got A Brand New Bag,1965
33,Wayne Fontana and The Mindbenders,34,Game Of Love,1965
34,Shirley Ellis,35,The Name Game,1965
35,Petula Clark,36,I Know A Place,1965
36,Supremes,37,Back In My Arms Again,1965
37,Barbara Lewis,38,Baby I’m Yours,1965
38,Kingsmen,39,The Jolly Green Giant,1965
39,Patti Page,40,"Hush, Hush, Sweet Charlotte",1965
40,Bob Dylan,41,Like A Rolling Stone,1965
41,Freddie and The Dreamers,42,I’m Telling You Now,1965
42,Gerry and The Pacemakers,43,Ferry Cross The Mersey,1965
43,Righteous Brothers,44,Just Once In My Life,1965
44,Johnny Rivers,45,Seventh Son,1965
45,Herman’s Hermits,46,"I’m Henry VIII, I Am",1965
46,Horst Jankowski,47,A Walk In The Black Forest,1965
47,Yardbirds,48,For Your Love,1965
48,Beach Boys,49,California Girls,1965
49,Moody Blues,50,Go Now,1965
50,Shirley Bassey,51,Goldfinger,1965
51,Billy Joe Royal,52,Down In The Boondocks,1965
52,Glenn Yarbrough,53,Baby The Rain Must Fall,1965
53,Dave Clark Five,54,Catch Us If You Can,1965
54,Beatles,55,Eight Days A Week,1965
55,Beau Brummels,56,Just A Little,1965
56,Ian Whitcomb,57,You Turn Me On,1965
57,Marvin Gaye,58,I’ll Be Doggone,1965
58,Gary Lewis and The Playboys,59,Save Your Heart For Me,1965
59,Kinks,60,Tired Of Waiting For You,1965
60,Gary Lewis and The Playboys,61,Count Me In,1965
61,Kinks,62,All Day And All Of The Night,1965
62,Jackie DeShannon,63,What The World Needs Now Is Love,1965
